,AUS,CAN,DEN,FIN,FRA,GER,ITA,JAP,NET,SWE,SWI,UK,US
1970,4.417763,1.607298,8.023599,1.453488,6.031746,2.268588,4.640916,9.218785,3.452534,8.478838,2.439797,9.772689,4.996713
1971,3.21368,0.5130398,6.444566,4.297994,7.705641,3.837435,4.231579,4.864372,4.671392,9.196856,6.518713,11.46881,2.421206
1972,5.320289,7.698852,9.132889,9.428607,9.853694,5.707157,7.244328,3.240634,6.586642,9.080355,6.410163,8.9244,4.442633
1973,7.187416,15.0079,13.39915,11.93234,12.50583,7.523233,11.9656,13.49915,7.926653,5.778154,6.105881,15.36774,16.29268
1974,8.135121,15.7967,11.77446,15.95325,11.48269,4.760598,19.58508,29.50586,7.123746,6.156134,10.77606,18.01814,14.84899
1975,6.048906,12.54448,11.16469,20.66641,11.09636,5.264536,19.68773,12.58513,8.054949,11.79971,6.16983,24.97066,8.2542
1976,5.312224,1.581028,10.81081,16.31817,12.75508,4.590694,18.99949,8.844403,9.73707,12.85015,-1.497923,19.84972,2.118758
1977,5.594259,8.819715,13.34831,17.50963,9.048911,4.924468,17.50008,6.946637,5.594797,14.62161,1.381591,18.78788,5.933659
1978,2.931693,17.42551,8.937824,4.458333,9.215282,1.417073,13.02776,3.153011,0.3739393,9.533173,3.967683,7.8114,10.52894
1979,2.477108,13.4795,5.410226,4.188273,10.4089,1.710262,13.82396,1.877412,2.185127,5.354917,3.703406,12.62239,10.81264
1980,4.500565,11.1449,10.03948,12.86371,14.08203,4.03341,15.65984,5.836598,4.381968,11.55978,6.901638,13.56227,7.995518
1981,5.890823,11.9427,11.86449,12.86199,13.24805,4.806676,16.10589,5.115077,5.702579,15.02238,10.47204,8.692185,7.309252
1982,4.232894,6.383896,10.16321,12.3427,9.478058,6.178813,15.25825,1.329659,5.712652,12.42139,6.810413,7.762289,3.445245
1983,2.132431,2.919313,5.319865,6.787834,8.313567,2.677046,11.71455,1.83814,0.1691993,11.66247,2.150226,3.671024,1.062022
1984,5.441335,6.066973,8.823529,7.655436,5.392532,1.451553,9.1801,2.316707,3.217158,11.65118,3.793249,5.878953,3.699033
1985,1.999091,2.451405,4.171563,7.173618,3.381643,0.8566481,8.79235,1.479485,0.2958153,7.429003,2.553493,4.015048,1.434941
1986,1.985895,5.039275,2.030457,3.875,3.145412,0.6234752,5.350383,-0.2149678,-1.243867,7.177501,0.8020828,3.328357,2.861253
1987,0.243858,4.544409,0.8844665,2.342559,2.362627,-0.5298132,3.627324,-1.508296,-2.049768,3.085114,0.7685258,3.127656,4.320124
1988,0.1234479,1.991856,3.616438,1.724543,4.29734,0.1715266,3.453735,0.8075237,0.2152945,5.480383,2.180021,3.371364,4.171011
1989,0.7796636,3.118256,4.177684,3.598675,3.143228,2.271089,6.274116,2.084351,1.12572,5.743116,1.132602,5.6,6.570857
1990,2.821057,3.902898,0.2538071,3.681118,2.792266,2.996123,6.00795,4.624097,2.209381,7.200728,5.520894,8.1,6.528011
1991,4.08399,2.296072,0.6582279,2.862667,0.3740678,2.721197,6.39078,5.575433,3.4,4.538617,4.376869,5.2,2.664063
1992,3.705198,-1.427446,1.725352,-0.07777814,-0.1469534,2.088119,4.958095,-0.01313411,1.77305,-5.143964,0.05761082,2.1,0.723882
1993,2.272727,1.817637,-0.2966919,-0.6356825,0.8006028,0.501125,2.022388,0.9226358,-0.3088375,0.7048617,-0.1768641,1.2,2.363116
1994,1.382153,0.0980873,2.931111,0.1917616,1.21239,1.628167,3.584229,0.7203698,1.874653,1.729578,0.4341036,1.3,2.873803
1995,-1.722898,2.66536,3.059651,-7.913938,1.120548,1.001302,6.150696,-1.636664,0.3820663,1.429837,0.6701811,3.9,3.238866
1996,0.1336303,1.154911,1.664407,-1.439251,1.788302,0.63448,3.95,-0.09872022,-0.1220909,-6.952962,-0.4910215,3.1,3.731092
1997,1.534697,1.538026,3.490458,0.4253124,1.699704,1.379174,-0.1443001,1.619493,1.634919,0.3798945,0.6680183,-0.1,2.489739
1998,1.93084,1.570486,2.070743,1.94411,0.4310535,1.039743,1.035645,1.820994,2.341387,1.132343,0.824478,1,1.891764
1999,-0.6324449,1.05215,0.6660862,-0.02890699,2.200902,-1.288709,0.9058403,-0.8017156,1.31126,1.476295,-0.1373441,0.3,1.908358
2000,0.6457393,1.068357,2.540664,1.066889,5.516412,-0.6917381,1.559178,-2.30781,0.08363739,0.004425301,1.630744,-0.5,2.238011
2001,3.641667,4.846367,3.855773,4.429388,2.729031,4.454037,4.109483,-0.675535,7.040562,2.871893,2.081061,3.8,3.266157
2002,1.391011,2.52905,2.183121,2.879282,2.27901,0.8453085,3.641916,-1.116562,3.281904,3.245892,2.309262,0.8,1.297827
2003,1.768438,1.441667,1.42432,0.5996106,0.4863352,-0.1490174,3.161828,-0.1789497,1.109284,0.3194189,1.270374,1.2,2.149568
2004,1.916933,1.774419,-1.016558,0.776467,0.1571493,-0.3357896,2.166342,1.150691,-3.466096,-0.4350339,0.5060416,0.7,3.785943
2005,2.084429,2.292356,0.6458443,0.5655746,1.67395,0.05615349,-0.04772619,-1.323311,-1.289461,-0.6858172,-0.709287,1.5,1.929102
2006,1.84136,2.272548,2.724595,1.36839,1.451361,2.029745,1.739427,0.5859898,1.640727,0.7630034,-0.04217174,2.5,1.760857
2007,4.188824,2.63097,4.464926,2.070094,5.064484,3.79538,2.86289,0.363945,1.03242,2.027142,0.5209725,4.5,4.209027
2008,6.297605,3.93174,7.567885,8.597318,0.07816317,6.076665,5.403468,2.939187,5.629835,6.910451,3.102869,9.1,6.400242
2009,0.2068405,5.475588,-0.09113278,2.020337,0.7845713,-1.307244,1.830437,0.04431278,1.080421,2.891471,-0.1856814,5.4,0.4662382
2010,0.4791743,0.9463722,0.3739852,-3.418234,1.986668,1.248629,0.1639643,-0.2975906,-0.08497316,1.448437,-1.106892,3.4,0.3309727
2011,4.2696,4.23913,3.962196,6.282866,2.88914,2.758104,2.478932,-0.5111574,2.214762,1.278574,-3.254099,5.5,4.802269
2012,3.222196,2.352711,4.291958,5.159489,1.149724,3.405774,2.529895,0.2028085,2.020512,1.484436,-0.9789698,3.2,2.463743
2013,3.462432,1.088825,0.4274579,5.33733,,3.858218,2.364329,-0.2023082,2.414882,2.208925,1.223101,3.8,0.9040795
